1,1,2012-09-09,DEN,,PIT,W 31-19,3,71,Demaryius Thomas,Trail 7-13,Lead 14-13*
2,1,2012-09-09,DEN,,PIT,W 31-19,4,1,Jacob Tamme,Trail 14-19,Lead 22-19*
3,2,2012-09-17,DEN,@,ATL,L 21-27,2,17,Demaryius Thomas,Trail 0-20,Trail 7-20
4,3,2012-09-23,DEN,,HOU,L 25-31,4,38,Brandon Stokley,Trail 11-31,Trail 18-31
5,3,2012-09-23,DEN,,HOU,L 25-31,4,6,Joel Dreessen,Trail 18-31,Trail 25-31
6,4,2012-09-30,DEN,,OAK,W 37-6,1,22,Joel Dreessen,Tied 0-0,Lead 7-0*
7,4,2012-09-30,DEN,,OAK,W 37-6,3,17,Eric Decker,Lead 10-6,Lead 17-6
8,4,2012-09-30,DEN,,OAK,W 37-6,3,14,Lance Ball,Lead 24-6,Lead 31-6
9,5,2012-10-07,DEN,@,NWE,L 21-31,2,1,Joel Dreessen,Trail 0-7,Tied 7-7
10,5,2012-10-07,DEN,@,NWE,L 21-31,3,2,Eric Decker,Trail 7-31,Trail 14-31
11,5,2012-10-07,DEN,@,NWE,L 21-31,4,5,Brandon Stokley,Trail 14-31,Trail 21-31
12,6,2012-10-15,DEN,@,SDG,W 35-24,3,29,Demaryius Thomas,Trail 0-24,Trail 7-24
13,6,2012-10-15,DEN,@,SDG,W 35-24,4,7,Eric Decker,Trail 14-24,Trail 21-24
14,6,2012-10-15,DEN,@,SDG,W 35-24,4,21,Brandon Stokley,Trail 21-24,Lead 28-24*
15,7,2012-10-28,DEN,,NOR,W 34-14,2,13,Eric Decker,Tied 7-7,Lead 14-7*
16,7,2012-10-28,DEN,,NOR,W 34-14,3,1,Demaryius Thomas,Lead 17-7,Lead 24-7
17,7,2012-10-28,DEN,,NOR,W 34-14,4,2,Eric Decker,Lead 24-7,Lead 31-7
18,8,2012-11-04,DEN,@,CIN,W 31-23,2,13,Eric Decker,Tied 3-3,Lead 10-3*
19,8,2012-11-04,DEN,@,CIN,W 31-23,4,1,Joel Dreessen,Trail 17-20,Lead 24-20*
20,8,2012-11-04,DEN,@,CIN,W 31-23,4,4,Eric Decker,Lead 24-20,Lead 31-20
21,9,2012-11-11,DEN,@,CAR,W 36-14,1,10,Brandon Stokley,Trail 0-7,Tied 7-7
22,10,2012-11-18,DEN,,SDG,W 30-23,2,13,Demaryius Thomas,Trail 0-7,Tied 7-7
23,10,2012-11-18,DEN,,SDG,W 30-23,2,31,Brandon Stokley,Lead 10-7,Lead 17-7
24,10,2012-11-18,DEN,,SDG,W 30-23,3,20,Eric Decker,Lead 17-9,Lead 24-9
25,11,2012-11-25,DEN,@,KAN,W 17-9,2,7,Jacob Tamme,Trail 0-6,Lead 7-6*
26,11,2012-11-25,DEN,@,KAN,W 17-9,3,30,Demaryius Thomas,Trail 7-9,Lead 14-9*
27,12,2012-12-02,DEN,,TAM,W 31-23,1,1,Mitch Unrein,Tied 0-0,Lead 7-0*
28,12,2012-12-02,DEN,,TAM,W 31-23,3,8,Demaryius Thomas,Trail 7-10,Lead 14-10*
29,12,2012-12-02,DEN,,TAM,W 31-23,3,10,Demaryius Thomas,Lead 14-10,Lead 21-10
30,13,2012-12-06,DEN,@,OAK,W 26-13,1,6,Joel Dreessen,Tied 0-0,Lead 7-0*
31,14,2012-12-16,DEN,@,BAL,W 34-17,3,51,Eric Decker,Lead 17-3,Lead 24-3
32,15,2012-12-23,DEN,,CLE,W 34-12,1,22,Demaryius Thomas,Tied 0-0,Lead 7-0*
33,15,2012-12-23,DEN,,CLE,W 34-12,2,10,Eric Decker,Lead 7-3,Lead 14-3
34,15,2012-12-23,DEN,,CLE,W 34-12,3,8,Eric Decker,Lead 14-6,Lead 21-6
35,16,2012-12-30,DEN,,KAN,W 38-3,2,11,Eric Decker,Lead 7-3,Lead 14-3
36,16,2012-12-30,DEN,,KAN,W 38-3,2,16,Eric Decker,Lead 14-3,Lead 21-3
37,16,2012-12-30,DEN,,KAN,W 38-3,3,13,Demaryius Thomas,Lead 21-3,Lead 28-3
